Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=5c4d9666ac3a6733a6ba33533939ccbd&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=MIR&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691394&legendRef=reference&legendPub=published&legendNor=
,MIR.M.U2.B.L22.A.R.A.2230.EUR.O,MIR.M.U2.B.L22.H.R.A.2230.EUR.O,MIR.M.U2.B.L22.L.R.A.2230.EUR.O
2011May,2.49,2.81,2.30
2011Apr,2.46,2.81,2.25
2011Mar,2.42,2.79,2.20
2011Feb,2.40,2.81,2.16
2011Jan,2.38,2.79,2.14
2010Dec,2.35,2.78,2.10
2010Nov,2.33,2.80,2.06
2010Oct,2.30,2.78,2.03
2010Sep,2.30,2.81,2.00
2010Aug,2.27,2.80,1.97
2010Jul,2.27,2.81,1.95
2010Jun,2.24,2.80,1.92
2010May,2.22,2.77,1.91
2010Apr,2.22,2.80,1.90
2010Mar,2.22,2.80,1.90
2010Feb,2.27,2.89,1.93
2010Jan,2.28,2.85,1.98
2009Dec,2.40,2.96,2.13
2009Nov,2.49,3.00,2.25
2009Oct,2.57,3.00,2.37
2009Sep,2.70,3.06,2.54
2009Aug,2.77,3.05,2.65
2009Jul,2.86,3.08,2.77
2009Jun,3.01,3.13,2.96
2009May,3.11,3.12,3.10
2009Apr,3.24,3.19,3.26
2009Mar,3.43,3.15,3.53
2009Feb,3.64,3.26,3.77
2009Jan,3.79,3.21,3.98
2008Dec,4.04,3.20,4.32
2008Nov,4.18,3.25,4.49
2008Oct,4.24,3.22,4.57
2008Sep,4.20,3.24,4.53
2008Aug,4.13,3.22,4.45
2008Jul,4.07,3.20,4.39
2008Jun,3.99,3.20,4.28
2008May,3.93,3.17,4.22
2008Apr,3.89,3.18,4.16
2008Mar,3.83,3.18,4.09
2008Feb,3.82,3.21,4.06
2008Jan,3.79,3.16,4.06
2007Dec,3.78,3.13,4.06
2007Nov,3.71,3.17,3.96
2007Oct,3.67,3.14,3.91
2007Sep,3.60,3.16,3.82
2007Aug,3.52,3.14,3.72
2007Jul,3.45,3.12,3.62
2007Jun,3.39,3.13,3.54
2007May,3.32,3.12,3.43
2007Apr,3.28,3.14,3.37
2007Mar,3.24,3.13,3.31
2007Feb,3.20,3.20,3.20
2007Jan,3.14,3.14,3.14
2006Dec,3.09,3.13,3.06
2006Nov,3.01,3.13,2.93
2006Oct,2.98,3.17,2.85
2006Sep,2.90,3.14,2.73
2006Aug,2.85,3.11,2.66
2006Jul,2.79,3.08,2.55
2006Jun,2.76,3.13,2.47
2006May,2.70,3.10,2.37
2006Apr,2.66,3.07,2.32
2006Mar,2.63,3.06,2.27
2006Feb,2.64,3.16,2.18
2006Jan,2.61,3.14,2.14
2005Dec,2.61,3.18,2.11
2005Nov,2.57,3.18,2.02
2005Oct,2.56,3.19,1.99
2005Sep,2.58,3.23,1.98
2005Aug,2.57,3.21,1.98
2005Jul,2.58,3.22,1.97
2005Jun,2.60,3.25,1.98
2005May,2.58,3.22,1.99
2005Apr,2.60,3.26,1.99
2005Mar,2.61,3.27,1.98
2005Feb,2.63,3.31,1.98
2005Jan,2.62,3.28,1.98
2004Dec,2.63,3.30,2.00
2004Nov,2.62,3.32,1.98
2004Oct,2.62,3.33,1.97
2004Sep,2.61,3.29,1.97
2004Aug,2.61,3.31,1.96
2004Jul,2.62,3.33,1.96
2004Jun,2.62,3.35,1.95
2004May,2.61,3.35,1.95
2004Apr,2.63,3.38,1.95
2004Mar,2.64,3.40,1.97
2004Feb,2.67,3.44,1.99
2004Jan,2.68,3.44,2.00
2003Dec,2.69,3.47,2.03
2003Nov,2.69,3.49,2.02
2003Oct,2.70,3.51,2.04
2003Sep,2.72,3.54,2.05
2003Aug,2.74,3.54,2.08
2003Jul,2.77,3.56,2.12
2003Jun,2.82,3.58,2.21
2003May,2.93,3.60,2.39
2003Apr,2.97,3.62,2.44
2003Mar,3.02,3.65,2.51
2003Feb,3.08,3.67,2.60
2003Jan,3.11,3.65,2.68
