Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=f07896d07068d65b6f7d5af3f5c2a04d&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=MIR&showHide=&REF_AREA.36=U2&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691556&legendPub=published&SERIES_KEY=124.MIR.M.U2.B.A2J.FM.R.A.2230.EUR.N&SERIES_KEY=124.MIR.M.U2.B.A2J.KM.R.A.2230.EUR.N
,MIR.M.U2.B.A2J.FM.R.A.2230.EUR.N,MIR.M.U2.B.A2J.KM.R.A.2230.EUR.N
2017Jan,1.78,1.82
2016Dec,1.81,1.79
2016Nov,1.82,1.79
2016Oct,1.83,1.82
2016Sep,1.86,1.86
2016Aug,1.83,1.87
2016Jul,1.86,1.92
2016Jun,1.89,1.95
2016May,1.91,2.03
2016Apr,1.99,2.11
2016Mar,2.03,2.12
2016Feb,2.02,2.18
2016Jan,2.07,2.28
2015Dec,2.08,2.23
2015Nov,2.11,2.30
2015Oct,2.14,2.29
2015Sep,2.20,2.31
2015Aug,2.14,2.29
2015Jul,2.17,2.24
2015Jun,2.23,2.22
2015May,2.25,2.21
2015Apr,2.33,2.27
2015Mar,2.36,2.31
2015Feb,2.36,2.41
2015Jan,2.44,2.40
2014Dec,2.44,2.47
2014Nov,2.49,2.57
2014Oct,2.56,2.69
2014Sep,2.65,2.75
2014Aug,2.68,2.83
2014Jul,2.76,2.89
2014Jun,2.79,2.96
2014May,2.90,3.06
2014Apr,2.96,3.13
2014Mar,2.97,3.16
2014Feb,2.95,3.18
2014Jan,2.95,3.22
2013Dec,2.92,3.16
2013Nov,2.96,3.23
2013Oct,2.97,3.30
2013Sep,2.91,3.19
2013Aug,2.90,3.17
2013Jul,2.96,3.16
2013Jun,2.88,3.14
2013May,2.95,3.22
2013Apr,2.98,3.32
2013Mar,2.94,3.32
2013Feb,2.94,3.35
2013Jan,2.97,3.37
2012Dec,2.99,3.29
2012Nov,2.97,3.39
2012Oct,2.99,3.43
2012Sep,2.99,3.42
2012Aug,3.00,3.53
2012Jul,3.12,3.61
2012Jun,3.23,3.66
2012May,3.27,3.81
2012Apr,3.28,3.89
2012Mar,3.32,3.82
2012Feb,3.42,3.94
2012Jan,3.53,3.81
2011Dec,3.69,3.88
2011Nov,3.59,3.96
2011Oct,3.65,4.01
2011Sep,3.56,4.01
2011Aug,3.54,4.16
2011Jul,3.54,4.09
2011Jun,3.49,4.02
2011May,3.38,4.10
2011Apr,3.37,4.13
2011Mar,3.22,3.97
2011Feb,3.19,3.91
2011Jan,3.07,3.73
2010Dec,3.08,3.60
2010Nov,3.01,3.66
2010Oct,2.95,3.62
2010Sep,2.89,3.60
2010Aug,2.88,3.73
2010Jul,2.82,3.64
2010Jun,2.78,3.69
2010May,2.68,3.73
2010Apr,2.69,3.78
2010Mar,2.69,3.78
2010Feb,2.69,3.92
2010Jan,2.71,3.89
2009Dec,2.77,3.95
2009Nov,2.86,3.98
2009Oct,2.81,4.01
2009Sep,2.79,4.03
2009Aug,2.91,4.09
2009Jul,3.00,4.15
2009Jun,3.19,4.21
2009May,3.19,4.27
2009Apr,3.25,4.36
2009Mar,3.57,4.42
2009Feb,3.84,4.63
2009Jan,4.22,4.83
2008Dec,4.94,5.02
2008Nov,5.50,5.28
2008Oct,6.04,5.48
2008Sep,6.04,5.59
2008Aug,5.90,5.54
2008Jul,5.89,5.51
2008Jun,5.79,5.41
2008May,5.70,5.31
2008Apr,5.70,5.23
2008Mar,5.61,5.22
2008Feb,5.52,5.22
2008Jan,5.59,5.24
2007Dec,5.71,5.31
2007Nov,5.57,5.24
2007Oct,5.57,5.21
2007Sep,5.60,5.27
2007Aug,5.43,5.19
2007Jul,5.33,5.06
2007Jun,5.27,5.04
2007May,5.15,4.93
2007Apr,5.13,4.83
2007Mar,5.08,4.78
2007Feb,4.98,4.74
2007Jan,4.90,4.66
2006Dec,4.87,4.62
2006Nov,4.76,4.61
2006Oct,4.68,4.54
2006Sep,4.52,4.54
2006Aug,4.46,4.53
2006Jul,4.35,4.46
2006Jun,4.25,4.35
2006May,4.15,4.32
2006Apr,4.10,4.22
2006Mar,4.03,4.16
2006Feb,3.89,4.16
2006Jan,3.83,4.01
2005Dec,3.79,3.95
2005Nov,3.71,3.93
2005Oct,3.62,3.89
2005Sep,3.61,3.86
2005Aug,3.62,3.87
2005Jul,3.61,3.90
2005Jun,3.61,3.92
2005May,3.66,3.98
2005Apr,3.70,4.03
2005Mar,3.75,4.03
2005Feb,3.77,4.00
2005Jan,3.77,4.01
2004Dec,3.73,4.08
2004Nov,3.75,4.19
2004Oct,3.79,4.21
2004Sep,3.79,4.28
2004Aug,3.78,4.19
2004Jul,3.79,4.25
2004Jun,3.77,4.21
2004May,3.79,4.24
2004Apr,3.78,4.19
2004Mar,3.76,4.27
2004Feb,3.83,4.32
2004Jan,3.85,4.38
2003Dec,3.87,4.35
2003Nov,3.84,4.29
2003Oct,3.89,4.29
2003Sep,3.88,4.27
2003Aug,3.94,4.21
2003Jul,3.91,4.10
2003Jun,3.99,4.25
2003May,4.25,4.40
2003Apr,4.31,4.52
2003Mar,4.36,4.59
2003Feb,4.44,4.67
2003Jan,4.54,4.71
