Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=f921365564ca8d9c68751779a0691cea&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=2&DATASET=3&removeItem=&removedItemList=&mergeFilter=&activeTab=MIR&showHide=&REF_AREA.36=U2&MATURITY_NOT_IRATE.36=F&MATURITY_NOT_IRATE.36=K&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691393&legendRef=reference&legendPub=published&legendNor=
,MIR.M.U2.B.A20.F.R.A.2240.EUR.O,MIR.M.U2.B.A20.K.R.A.2240.EUR.O,MIR.M.U2.B.A20.K.R.A.2250.EUR.O,MIR.M.U2.B.A22.F.R.A.2250.EUR.O,MIR.M.U2.B.A22.K.R.A.2250.EUR.O,MIR.M.U2.B.A25.F.R.A.2250.EUR.O,MIR.M.U2.B.A25.K.R.A.2250.EUR.O
2021Jul,1.50,1.66,2.10,1.66,1.68,5.21,3.87
2021Jun,1.57,1.68,2.11,1.66,1.70,5.19,3.88
2021May,1.50,1.68,2.12,1.68,1.71,5.37,3.91
2021Apr,1.49,1.69,2.14,1.65,1.73,5.37,3.91
2021Mar,1.46,1.71,2.16,1.67,1.75,5.45,3.93
2021Feb,1.55,1.73,2.20,1.70,1.77,5.49,3.99
2021Jan,1.55,1.71,2.18,1.70,1.76,5.57,3.95
2020Dec,1.56,1.73,2.21,1.72,1.79,5.40,3.99
2020Nov,1.58,1.75,2.23,1.72,1.81,5.52,4.02
2020Oct,1.57,1.75,2.23,1.72,1.82,5.61,4.00
2020Sep,1.59,1.77,2.25,1.74,1.83,5.65,4.02
2020Aug,1.57,1.76,2.26,1.75,1.84,5.62,4.04
2020Jul,1.58,1.78,2.28,1.76,1.86,5.68,4.05
2020Jun,1.67,1.79,2.30,1.77,1.88,5.68,4.09
2020May,1.70,1.79,2.31,1.75,1.89,5.91,4.10
2020Apr,1.77,1.81,2.33,1.77,1.90,6.11,4.13
2020Mar,1.82,1.82,2.34,1.80,1.91,6.21,4.14
2020Feb,1.89,1.85,2.37,1.80,1.94,6.20,4.18
2020Jan,1.90,1.85,2.36,1.82,1.93,6.16,4.17
2019Dec,1.91,1.86,2.38,1.82,1.95,6.07,4.19
2019Nov,1.91,1.87,2.40,1.82,1.98,6.19,4.21
2019Oct,1.91,1.88,2.41,1.84,1.98,6.26,4.20
2019Sep,1.95,1.89,2.44,1.87,2.01,6.28,4.22
2019Aug,1.90,1.90,2.45,2.02,2.02,6.24,4.22
2019Jul,1.92,1.91,2.47,2.05,2.04,6.19,4.23
2019Jun,1.98,1.93,2.48,2.07,2.06,6.15,4.24
2019May,1.96,1.94,2.49,2.11,2.07,6.23,4.23
2019Apr,2.00,1.95,2.49,2.13,2.08,6.17,4.23
2019Mar,1.98,1.96,2.52,2.13,2.09,6.21,4.25
2019Feb,2.01,1.98,2.56,2.15,2.12,6.22,4.28
2019Jan,2.03,1.97,2.53,2.14,2.09,6.18,4.24
2018Dec,1.98,1.99,2.55,2.13,2.11,6.12,4.24
2018Nov,1.99,1.99,2.56,2.11,2.12,6.12,4.27
2018Oct,1.99,2.00,2.56,2.11,2.13,6.23,4.27
2018Sep,1.99,2.02,2.59,2.10,2.14,6.23,4.31
2018Aug,2.01,2.03,2.58,2.10,2.14,6.16,4.29
2018Jul,2.01,2.03,2.60,2.08,2.16,6.15,4.30
2018Jun,2.03,2.05,2.61,2.09,2.18,6.19,4.32
2018May,2.03,2.06,2.62,2.12,2.18,6.19,4.33
2018Apr,2.09,2.07,2.64,2.13,2.20,6.22,4.34
2018Mar,2.10,2.09,2.66,2.10,2.22,6.25,4.38
2018Feb,2.14,2.11,2.69,2.13,2.26,6.32,4.42
2018Jan,2.14,2.09,2.67,2.14,2.24,6.28,4.38
2017Dec,2.16,2.11,2.69,2.14,2.26,6.21,4.39
2017Nov,2.19,2.14,2.71,2.15,2.28,6.35,4.41
2017Oct,2.21,2.15,2.72,2.13,2.29,6.44,4.42
2017Sep,2.22,2.16,2.74,2.16,2.31,6.46,4.44
2017Aug,2.22,2.17,2.75,2.11,2.32,6.48,4.44
2017Jul,2.22,2.18,2.77,2.17,2.34,6.46,4.46
2017Jun,2.28,2.20,2.79,2.17,2.36,6.47,4.46
2017May,2.29,2.23,2.79,2.17,2.38,6.53,4.42
2017Apr,2.32,2.24,2.81,2.18,2.40,6.53,4.46
2017Mar,2.34,2.26,2.84,2.20,2.43,6.60,4.47
2017Feb,2.38,2.30,2.89,2.20,2.47,6.65,4.54
2017Jan,2.37,2.29,2.87,2.20,2.45,6.60,4.50
2016Dec,2.37,2.32,2.91,2.23,2.50,6.48,4.53
2016Nov,2.39,2.35,2.95,2.24,2.53,6.59,4.56
2016Oct,2.40,2.37,2.96,2.32,2.55,6.66,4.55
2016Sep,2.44,2.38,3.00,2.32,2.58,6.68,4.61
2016Aug,2.45,2.40,3.00,2.32,2.59,6.67,4.57
2016Jul,2.45,2.42,3.04,2.35,2.62,6.66,4.60
2016Jun,2.47,2.45,3.06,2.42,2.65,6.70,4.62
2016May,2.51,2.49,3.09,2.42,2.68,6.94,4.60
2016Apr,2.55,2.50,3.12,2.35,2.70,6.94,4.62
2016Mar,2.61,2.52,3.15,2.40,2.74,7.05,4.62
2016Feb,2.66,2.57,3.18,2.41,2.76,7.06,4.67
2016Jan,2.69,2.58,3.16,2.44,2.76,7.04,4.69
2015Dec,2.70,2.64,3.20,2.46,2.80,6.98,4.71
2015Nov,2.74,2.66,3.23,2.44,2.84,7.01,4.74
2015Oct,2.77,2.66,3.25,2.48,2.86,7.07,4.75
2015Sep,2.82,2.70,3.27,2.51,2.88,7.16,4.77
2015Aug,2.79,2.72,3.28,2.53,2.89,7.12,4.77
2015Jul,2.82,2.74,3.33,2.52,2.93,7.08,4.79
2015Jun,2.88,2.79,3.38,2.55,2.97,7.17,4.86
2015May,2.93,2.82,3.39,2.55,3.00,7.18,4.80
2015Apr,2.98,2.84,3.42,2.60,3.03,7.20,4.84
2015Mar,3.04,2.88,3.47,2.66,3.08,7.23,4.89
2015Feb,3.07,2.93,3.52,2.71,3.12,7.28,4.97
2015Jan,3.13,2.91,3.52,2.71,3.10,7.30,4.91
2014Dec,3.07,2.96,3.55,2.79,3.13,7.27,4.91
2014Nov,3.24,2.99,3.56,2.80,3.18,7.34,4.94
2014Oct,3.28,3.02,3.57,2.88,3.19,7.42,4.96
2014Sep,3.36,3.06,3.60,2.93,3.22,7.50,4.99
2014Aug,3.40,3.07,3.60,2.93,3.21,7.44,4.99
2014Jul,3.46,3.10,3.63,3.01,3.24,7.44,5.00
2014Jun,3.54,3.15,3.66,3.02,3.27,7.55,5.03
2014May,3.60,3.17,3.67,3.33,3.28,7.54,5.01
2014Apr,3.65,3.18,3.68,3.37,3.30,7.55,5.03
2014Mar,3.64,3.18,3.70,3.30,3.32,7.64,5.01
2014Feb,3.66,3.21,3.74,3.30,3.35,7.67,5.09
2014Jan,3.69,3.17,3.68,3.31,3.29,7.62,5.01
2013Dec,3.63,3.18,3.69,3.29,3.31,7.53,5.01
2013Nov,3.62,3.16,3.71,3.19,3.33,7.55,5.03
2013Oct,3.64,3.16,3.72,3.20,3.34,7.63,5.04
2013Sep,3.67,3.16,3.75,3.24,3.36,7.67,5.08
2013Aug,3.66,3.16,3.74,3.22,3.35,7.62,5.07
2013Jul,3.66,3.18,3.77,3.22,3.38,7.62,5.09
2013Jun,3.66,3.18,3.81,3.26,3.42,7.66,5.11
2013May,3.69,3.17,3.82,3.24,3.44,7.70,5.10
2013Apr,3.70,3.18,3.85,3.26,3.48,7.77,5.13
2013Mar,3.72,3.19,3.86,3.30,3.48,7.88,5.14
2013Feb,3.75,3.21,3.88,3.27,3.49,7.85,5.16
2013Jan,3.76,3.21,3.88,3.29,3.51,7.84,5.15
2012Dec,3.74,3.24,3.92,3.45,3.55,7.83,5.16
2012Nov,3.74,3.27,3.96,3.48,3.59,7.66,5.20
2012Oct,3.79,3.28,3.98,3.58,3.60,7.82,5.22
2012Sep,3.81,3.36,4.03,3.66,3.66,7.88,5.28
2012Aug,3.83,3.38,4.04,3.68,3.66,7.84,5.28
2012Jul,3.92,3.43,4.08,3.72,3.71,7.86,5.31
2012Jun,3.99,3.49,4.13,3.81,3.75,7.91,5.37
2012May,4.02,3.53,4.15,3.82,3.76,8.03,5.39
2012Apr,4.07,3.57,4.18,3.88,3.79,8.05,5.42
2012Mar,4.18,3.63,4.23,3.98,3.85,8.16,5.48
2012Feb,4.21,3.71,4.24,4.00,3.86,8.17,5.50
2012Jan,4.27,3.72,4.26,4.02,3.87,8.20,5.52
2011Dec,4.29,3.76,4.28,4.07,3.89,8.19,5.56
2011Nov,4.23,3.79,4.30,4.08,3.90,8.15,5.57
2011Oct,4.21,3.77,4.30,4.08,3.91,8.23,5.56
2011Sep,4.14,3.77,4.30,4.08,3.91,8.20,5.56
2011Aug,4.09,3.75,4.28,4.02,3.89,8.12,5.55
2011Jul,4.03,3.72,4.28,3.99,3.89,8.09,5.54
2011Jun,3.99,3.66,4.25,3.84,3.85,8.01,5.53
2011May,3.90,3.59,4.23,3.78,3.84,8.02,5.48
2011Apr,3.84,3.56,4.23,3.78,3.84,8.00,5.49
2011Mar,3.74,3.49,4.22,3.69,3.83,7.98,5.45
2011Feb,3.71,3.48,4.21,3.65,3.82,7.94,5.46
2011Jan,3.66,3.44,4.18,3.68,3.79,7.91,5.43
2010Dec,3.57,3.43,4.20,3.69,3.80,7.81,5.44
2010Nov,3.58,3.42,4.23,3.72,3.83,7.81,5.47
2010Oct,3.55,3.38,4.21,3.74,3.82,7.93,5.46
2010Sep,3.50,3.36,4.22,3.78,3.82,7.97,5.48
2010Aug,3.46,3.34,4.21,3.75,3.81,7.87,5.47
2010Jul,3.42,3.32,4.22,3.72,3.82,7.85,5.48
2010Jun,3.39,3.29,4.24,3.76,3.84,7.80,5.48
2010May,3.41,3.29,4.29,3.86,3.90,7.37,5.53
2010Apr,3.42,3.30,4.31,3.89,3.92,7.35,5.55
2010Mar,3.43,3.34,4.37,3.98,3.98,7.41,5.60
2010Feb,3.45,3.40,4.42,4.03,4.03,7.46,5.68
2010Jan,3.47,3.41,4.39,3.99,4.00,7.48,5.62
2009Dec,3.46,3.46,4.45,4.07,4.07,7.52,5.67
2009Nov,3.53,3.51,4.52,4.01,4.12,7.53,5.76
2009Oct,3.57,3.54,4.56,4.05,4.18,7.66,5.78
2009Sep,3.62,3.61,4.64,4.18,4.25,7.77,5.86
2009Aug,3.65,3.67,4.67,4.23,4.28,7.79,5.88
2009Jul,3.72,3.75,4.74,4.31,4.36,7.79,5.93
2009Jun,3.91,3.92,4.84,4.50,4.46,7.94,6.03
2009May,4.00,4.04,4.93,4.59,4.55,8.05,6.07
2009Apr,4.10,4.17,5.01,4.70,4.65,8.16,6.16
2009Mar,4.40,4.42,5.14,4.92,4.77,8.40,6.30
2009Feb,4.75,4.70,5.28,5.14,4.91,8.57,6.45
2009Jan,5.10,4.89,5.30,5.22,4.93,8.70,6.46
2008Dec,5.71,5.32,5.45,5.50,5.08,9.00,6.62
2008Nov,6.16,5.59,5.53,5.71,5.15,9.22,6.72
2008Oct,6.43,5.70,5.54,5.78,5.17,9.43,6.73
2008Sep,6.39,5.64,5.52,5.77,5.14,9.37,6.72
2008Aug,6.28,5.55,5.48,5.78,5.11,9.26,6.65
2008Jul,6.25,5.53,5.48,5.72,5.11,9.19,6.63
2008Jun,6.18,5.47,5.44,5.68,5.07,9.10,6.59
2008May,6.08,5.40,5.40,5.62,5.05,9.06,6.51
2008Apr,6.04,5.36,5.39,5.60,5.03,9.05,6.52
2008Mar,5.99,5.34,5.37,5.61,5.02,9.04,6.50
2008Feb,5.99,5.36,5.39,5.60,5.03,9.03,6.51
2008Jan,6.06,5.35,5.36,5.62,5.00,8.98,6.48
2007Dec,6.08,5.36,5.35,5.54,5.00,8.95,6.46
2007Nov,5.96,5.29,5.34,5.49,4.99,8.84,6.46
2007Oct,5.96,5.28,5.32,5.49,4.98,9.00,6.41
2007Sep,5.91,5.20,5.28,5.45,4.94,8.98,6.36
2007Aug,5.76,5.10,5.24,5.35,4.90,8.84,6.32
2007Jul,5.70,5.04,5.23,5.29,4.88,8.78,6.30
2007Jun,5.62,5.00,5.20,5.21,4.85,8.66,6.27
2007May,5.50,4.92,5.16,5.16,4.82,8.69,6.24
2007Apr,5.50,4.89,5.15,5.15,4.80,8.66,6.24
2007Mar,5.44,4.86,5.13,5.14,4.78,8.60,6.20
2007Feb,5.37,4.83,5.14,5.12,4.78,8.64,6.23
2007Jan,5.30,4.77,5.08,5.06,4.72,8.52,6.19
2006Dec,5.23,4.67,5.06,5.01,4.70,8.40,6.17
2006Nov,5.14,4.62,5.04,4.98,4.67,8.31,6.16
2006Oct,5.07,4.55,5.01,4.90,4.64,8.33,6.14
2006Sep,4.93,4.50,4.99,4.82,4.61,8.28,6.13
2006Aug,4.85,4.44,4.96,4.72,4.59,8.18,6.07
2006Jul,4.81,4.40,4.94,4.68,4.56,8.14,6.07
2006Jun,4.72,4.34,4.91,4.67,4.54,8.09,6.02
2006May,4.64,4.29,4.88,4.63,4.51,8.09,5.99
2006Apr,4.59,4.27,4.89,4.63,4.51,8.09,6.03
2006Mar,4.53,4.23,4.89,4.60,4.51,8.04,6.03
2006Feb,4.49,4.22,4.90,4.59,4.53,7.96,5.99
2006Jan,4.42,4.16,4.86,4.62,4.49,7.98,5.94
2005Dec,4.35,4.14,4.87,4.54,4.51,7.87,5.94
2005Nov,4.29,4.13,4.90,4.48,4.52,7.84,5.98
2005Oct,4.24,4.13,4.93,4.49,4.57,7.89,5.97
2005Sep,4.25,4.14,4.95,4.49,4.58,7.89,6.01
2005Aug,4.25,4.16,4.94,4.52,4.59,7.90,5.96
2005Jul,4.30,4.17,4.99,4.53,4.62,7.86,6.03
2005Jun,4.32,4.22,5.04,4.61,4.66,7.90,6.11
2005May,4.33,4.23,5.07,4.64,4.70,7.95,6.09
2005Apr,4.34,4.24,5.10,4.70,4.73,7.97,6.12
2005Mar,4.38,4.27,5.13,4.76,4.77,8.03,6.13
2005Feb,4.39,4.33,5.14,4.79,4.75,8.10,6.19
2005Jan,4.41,4.28,5.15,4.81,4.78,8.07,6.14
2004Dec,4.34,4.32,5.20,4.86,4.83,8.02,6.20
2004Nov,4.40,4.35,5.21,4.71,4.85,8.05,6.18
2004Oct,4.41,4.35,5.23,4.71,4.87,8.13,6.19
2004Sep,4.45,4.38,5.26,4.83,4.89,8.19,6.24
2004Aug,4.42,4.37,5.26,4.81,4.90,8.15,6.20
2004Jul,4.43,4.39,5.28,4.83,4.93,8.14,6.22
2004Jun,4.43,4.41,5.32,4.85,4.97,8.15,6.26
2004May,4.41,4.40,5.33,4.87,4.98,8.20,6.24
2004Apr,4.43,4.44,5.37,4.86,5.01,8.29,6.29
2004Mar,4.45,4.47,5.40,4.92,5.05,8.26,6.32
2004Feb,4.48,4.49,5.44,4.97,5.09,8.30,6.34
2004Jan,4.50,4.51,5.44,5.02,5.11,8.33,6.33
2003Dec,4.46,4.53,5.48,5.09,5.14,8.30,6.37
2003Nov,4.45,4.55,5.53,4.92,5.18,8.24,6.42
2003Oct,4.49,4.56,5.55,4.96,5.20,8.38,6.44
2003Sep,4.51,4.60,5.59,5.00,5.25,8.41,6.48
2003Aug,4.49,4.63,5.61,5.09,5.27,8.40,6.48
2003Jul,4.53,4.68,5.65,5.09,5.32,8.46,6.51
2003Jun,4.70,4.79,5.74,5.24,5.40,8.56,6.60
2003May,4.85,4.87,5.78,5.28,5.45,8.66,6.61
2003Apr,4.90,4.91,5.83,5.34,5.50,8.67,6.66
2003Mar,4.97,4.97,5.86,5.41,5.54,8.77,6.69
2003Feb,5.05,5.02,5.93,5.44,5.58,8.79,6.80
2003Jan,5.10,5.04,5.93,5.49,5.60,8.74,6.73
